 id,prompt,answer,family,rule_name,source,cot,has_cot
0047365c,"In Alice's Wonderland, a secret unit conversion is applied to measurements. For example:
32.58 m becomes 26.62
10.9 m becomes 8.90
17.86 m becomes 14.59
Now, convert the following measurement: 13.0 m",10.62,unit_conversion,official_train,official_train,Each measurement is multiplied by a fixed factor. From '32.58 m becomes 26.62': factor = 26.62/32.58 = 0.817. Apply to 13.0 m: 13.0*0.817 = 10.62.,true
004ef7c7,"In Alice's Wonderland, a secret bit manipulation rule transforms 8-bit binary numbers. The transformation involves operations like bit shifts, rotations, XOR, AND, OR, NOT, and possibly majority or choice functions.

Here are some examples of input -> output:
11101001 -> 01111101
11010100 -> 11111110
00110011 -> 00000111
00111000 -> 01001111
00101011 -> 11110101
00100010 -> 10101111
10000010 -> 11111010
00001010 -> 10111011

Now, determine the output for: 01010101",11111111,bit_manipulation,official_train,official_train,"",false
0059df78,"In Alice's Wonderland, a secret unit conversion is applied to measurements. For example:
35.31 m becomes 32.49
11.58 m becomes 10.65
37.75 m becomes 34.73
7.15 m becomes 6.58
25.38 m becomes 23.35
Now, convert the following measurement: 47.21 m",43.43,unit_conversion,official_train,official_train,Each measurement is multiplied by a fixed factor. From '35.31 m becomes 32.49': factor = 32.49/35.31 = 0.92. Apply to 47.21 m: 47.21*0.92 = 43.43.,true
005ad22a,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:
hmxad apdhvdq vid ohexahm apwqvhm -> alice creates the magical crystal
zxuhpl zhvaidq xyqxld txmmhed -> wizard watches inside village
nfddy xohexydq xy ehpldy -> queen imagines in garden
osfqd qddq lssp -> mouse sees door
vid amdtdp zxuhpl dgjmspdq -> the clever wizard explores
Now, decrypt the following text: bxye aihqdq ahqvmd",king chases castle,text_decryption,official_train,official_train,"",false
00600e6e,"In Alice's Wonderland, numbers are secretly converted into a different numeral system. Some examples are given below:
37 -> XXXVII
41 -> XLI
66 -> LXVI
64 -> LXIV
Now, write the number 67 in the Wonderland numeral system.",LXVII,numeral_system,official_train,official_train,"The examples are Roman numerals (I=1, V=5, X=10, L=50, C=100, D=500, M=1000), with subtractive pairs like IV=4 and IX=9. Convert 67 greedily: 50->L, 10->X, 5->V, 1->I, 1->I, concatenating to LXVII.",true
00619cba,"In Alice's Wonderland, the gravitational constant has been secretly changed. Here are some example observations:
For t = 4.74s, distance = 141.41 m
For t = 3.71s, distance = 86.63 m
For t = 1.75s, distance = 19.27 m
Now, determine the falling distance for t = 3.82s given d = 0.5*g*t^2.",91.84,gravity_formula,official_train,official_train,"The rule is d = 0.5*g*t^2 with a hidden g. From the example t=4.74s, d=141.41 m: g = 2*141.41/4.74^2 = 12.59. Apply to t=3.82s: d = 0.5*12.59*3.82^2 = 91.86.",true
00662ac2,"In Alice's Wonderland, the gravitational constant has been secretly changed. Here are some example observations:
For t = 4.32s, distance = 54.42 m
For t = 2.58s, distance = 19.41 m
For t = 1.61s, distance = 7.56 m
Now, determine the falling distance for t = 2.01s given d = 0.5*g*t^2.",11.78,gravity_formula,official_train,official_train,"The rule is d = 0.5*g*t^2 with a hidden g. From the example t=4.32s, d=54.42 m: g = 2*54.42/4.32^2 = 5.83. Apply to t=2.01s: d = 0.5*5.83*2.01^2 = 11.78.",true
00674059,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:
xkffmh chmkfmn ewhmnf -> hatter creates forest
hkyydf cxknmn chbnfkj -> rabbit chases crystal
shkawg cxknmn dg owugfkdg -> dragon chases in mountain
Now, decrypt the following text: kjdcm pkfcxmn ugsmh pwgsmhjkgs",alice watches under wonderland,text_decryption,official_train,official_train,"",false
006a46d3,"In Alice's Wonderland, a secret unit conversion is applied to measurements. For example:
30.38 m becomes 52.95
41.16 m becomes 71.74
43.09 m becomes 75.10
23.73 m becomes 41.36
42.13 m becomes 73.43
Now, convert the following measurement: 10.9 m",19.00,unit_conversion,official_train,official_train,Each measurement is multiplied by a fixed factor. From '30.38 m becomes 52.95': factor = 52.95/30.38 = 1.743. Apply to 10.9 m: 10.9*1.743 = 19.00.,true
0073bcbb,"In Alice's Wonderland, the gravitational constant has been secretly changed. Here are some example observations:
For t = 3.25s, distance = 78.86 m
For t = 1.98s, distance = 29.27 m
For t = 1.9s, distance = 26.95 m
For t = 3.08s, distance = 70.82 m
For t = 1.82s, distance = 24.73 m
Now, determine the falling distance for t = 1.65s given d = 0.5*g*t^2.",20.33,gravity_formula,official_train,official_train,"The rule is d = 0.5*g*t^2 with a hidden g. From the example t=3.25s, d=78.86 m: g = 2*78.86/3.25^2 = 14.93. Apply to t=1.65s: d = 0.5*14.93*1.65^2 = 20.32.",true
00754598,"In Alice's Wonderland, a secret bit manipulation rule transforms 8-bit binary numbers. The transformation involves operations like bit shifts, rotations, XOR, AND, OR, NOT, and possibly majority or choice functions.

Here are some examples of input -> output:
10101001 -> 01100010
00110011 -> 10010100
00100111 -> 00110001
11011100 -> 11010111
01110010 -> 10001100
01010001 -> 10011100
00100101 -> 00100001
00100001 -> 00000000
10011111 -> 11011111

Now, determine the output for: 01111110",11101111,bit_manipulation,official_train,official_train,"",false
00890aff,"In Alice's Wonderland, a secret bit manipulation rule transforms 8-bit binary numbers. The transformation involves operations like bit shifts, rotations, XOR, AND, OR, NOT, and possibly majority or choice functions.

Here are some examples of input -> output:
01110000 -> 00011000
11101010 -> 10111000
00001011 -> 00000100
00111101 -> 01011110
01010101 -> 01010100
01111001 -> 01111100
11001001 -> 01100100
01101110 -> 10111011
10111001 -> 01101100
01111110 -> 10111111

Now, determine the output for: 11100101",01110000,bit_manipulation,official_train,official_train,"",false
008b52fd,"In Alice's Wonderland, a secret bit manipulation rule transforms 8-bit binary numbers. The transformation involves operations like bit shifts, rotations, XOR, AND, OR, NOT, and possibly majority or choice functions.

Here are some examples of input -> output:
10011001 -> 01001110
10110101 -> 00010110
10011101 -> 01000110
10011110 -> 11000010
10111000 -> 10001110
11010000 -> 01011111
00110001 -> 00011101
11000111 -> 11110011
11110001 -> 10011111
11010001 -> 11011111

Now, determine the output for: 00001101",01100101,bit_manipulation,official_train,official_train,"",false
009a74b6,"In Alice's Wonderland, a secret bit manipulation rule transforms 8-bit binary numbers. The transformation involves operations like bit shifts, rotations, XOR, AND, OR, NOT, and possibly majority or choice functions.

Here are some examples of input -> output:
01110101 -> 00000111
01101101 -> 10000110
10001000 -> 01101110
11101010 -> 00001110
10100101 -> 00011011
10001011 -> 00111110
10101101 -> 10011010
11101101 -> 10011110
10110001 -> 11011011
01100001 -> 11000111

Now, determine the output for: 00110000",11111011,bit_manipulation,official_train,official_train,"",false
00a3fd23,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:
wfmkg gajifbgk vdkqig -> mouse explores castle
yuelxq rbgdwk eu zdiigh -> knight dreams in valley
jbeuvgkk pdqvxgk qxg vmbefmk sffy -> princess watches the curious book
qxg duveguq dievg bgdrk -> the ancient alice reads
Now, decrypt the following text: petdbr pdqvxgk qxbfmlx iesbdbh",wizard watches through library,text_decryption,official_train,official_train,"",false
00a77d86,"In Alice's Wonderland, a secret unit conversion is applied to measurements. For example:
22.62 m becomes 40.87
32.87 m becomes 59.39
12.43 m becomes 22.46
31.75 m becomes 57.37
Now, convert the following measurement: 11.38 m",20.56,unit_conversion,official_train,official_train,Each measurement is multiplied by a fixed factor. From '22.62 m becomes 40.87': factor = 40.87/22.62 = 1.807. Apply to 11.38 m: 11.38*1.807 = 20.56.,true
00c032a8,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
}`]?( = ())
}#<)\ = #?
?(!&& = #@@#
(?!@` = )#))
Now, determine the result for: ))!\)",\^?,equation_symbol_transformation,official_train,official_train,"",false
00c8ab45,"In Alice's Wonderland, a secret unit conversion is applied to measurements. For example:
6.43 m becomes 8.04
28.26 m becomes 35.36
7.35 m becomes 9.20
18.66 m becomes 23.35
Now, convert the following measurement: 18.98 m",23.75,unit_conversion,official_train,official_train,Each measurement is multiplied by a fixed factor. From '6.43 m becomes 8.04': factor = 8.04/6.43 = 1.251. Apply to 18.98 m: 18.98*1.251 = 23.74.,true
00d1932c,"In Alice's Wonderland, a secret unit conversion is applied to measurements. For example:
42.94 m becomes 22.68
17.68 m becomes 9.34
46.96 m becomes 24.81
46.08 m becomes 24.34
31.21 m becomes 16.49
Now, convert the following measurement: 23.62 m",12.48,unit_conversion,official_train,official_train,Each measurement is multiplied by a fixed factor. From '42.94 m becomes 22.68': factor = 22.68/42.94 = 0.528. Apply to 23.62 m: 23.62*0.528 = 12.47.,true
00d8b3db,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
34/44 = 1
41/32 = 9
34|25 = 69
87\64 = 8853
Now, determine the result for: 69/52",17/,equation_symbol_transformation,official_train,official_train,"",false
00d9f682,"In Alice's Wonderland, numbers are secretly converted into a different numeral system. Some examples are given below:
4 -> IV
42 -> XLII
59 -> LIX
77 -> LXXVII
55 -> LV
Now, write the number 100 in the Wonderland numeral system.",C,numeral_system,official_train,official_train,"The examples are Roman numerals (I=1, V=5, X=10, L=50, C=100, D=500, M=1000), with subtractive pairs like IV=4 and IX=9. Convert 100 greedily: 100->C, concatenating to C.",true
00ec1c63,"In Alice's Wonderland, the gravitational constant has been secretly changed. Here are some example observations:
For t = 1.21s, distance = 8.94 m
For t = 1.27s, distance = 9.85 m
For t = 3.71s, distance = 84.03 m
For t = 4.89s, distance = 145.98 m
For t = 2.53s, distance = 39.08 m
Now, determine the falling distance for t = 1.12s given d = 0.5*g*t^2.",7.66,gravity_formula,official_train,official_train,"The rule is d = 0.5*g*t^2 with a hidden g. From the example t=1.21s, d=8.94 m: g = 2*8.94/1.21^2 = 12.21. Apply to t=1.12s: d = 0.5*12.21*1.12^2 = 7.66.",true
00ed1836,"In Alice's Wonderland, the gravitational constant has been secretly changed. Here are some example observations:
For t = 3.28s, distance = 53.97 m
For t = 4.11s, distance = 84.74 m
For t = 3.11s, distance = 48.52 m
For t = 2.12s, distance = 22.55 m
For t = 4.66s, distance = 108.94 m
Now, determine the falling distance for t = 2.2s given d = 0.5*g*t^2.",24.28,gravity_formula,official_train,official_train,"The rule is d = 0.5*g*t^2 with a hidden g. From the example t=3.28s, d=53.97 m: g = 2*53.97/3.28^2 = 10.03. Apply to t=2.2s: d = 0.5*10.03*2.2^2 = 24.27.",true
00efa37c,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:
vmelt lyvutu wyt lfmfcaom keccfc -> alice chases the colorful mirror
lvw afobd wyt xfmdtb dffc -> cat found the golden door
wyt uemitc wtvlytc tnjmfctu -> the silver teacher explores
jcebltuu lctvwtu wyt locefou sffp -> princess creates the curious book
pbexyw hvwlytu wyt xfmdtb joggmt -> knight watches the golden puzzle
Now, decrypt the following text: wocwmt hvwlytu wyt kzuwtcefou xvcdtb",turtle watches the mysterious garden,text_decryption,official_train,official_train,"",false
00fdc0be,"In Alice's Wonderland, a secret bit manipulation rule transforms 8-bit binary numbers. The transformation involves operations like bit shifts, rotations, XOR, AND, OR, NOT, and possibly majority or choice functions.

Here are some examples of input -> output:
01101111 -> 10111111
01001110 -> 00111111
01111101 -> 11111110
10111111 -> 11111111
01101011 -> 10111101
00010101 -> 11011110
11011111 -> 11111111

Now, determine the output for: 10101111",11111111,bit_manipulation,official_train,official_train,"",false
010055e2,"In Alice's Wonderland, a secret unit conversion is applied to measurements. For example:
5.08 m becomes 3.05
22.98 m becomes 13.78
22.84 m becomes 13.70
33.62 m becomes 20.17
Now, convert the following measurement: 47.17 m",28.29,unit_conversion,official_train,official_train,Each measurement is multiplied by a fixed factor. From '5.08 m becomes 3.05': factor = 3.05/5.08 = 0.6. Apply to 47.17 m: 47.17*0.6 = 28.30.,true
0106eb4a,"In Alice's Wonderland, numbers are secretly converted into a different numeral system. Some examples are given below:
32 -> XXXII
76 -> LXXVI
51 -> LI
1 -> I
Now, write the number 84 in the Wonderland numeral system.",LXXXIV,numeral_system,official_train,official_train,"The examples are Roman numerals (I=1, V=5, X=10, L=50, C=100, D=500, M=1000), with subtractive pairs like IV=4 and IX=9. Convert 84 greedily: 50->L, 10->X, 10->X, 10->X, 4->IV, concatenating to LXXXIV.",true
0122d53a,"In Alice's Wonderland, numbers are secretly converted into a different numeral system. Some examples are given below:
93 -> XCIII
20 -> XX
74 -> LXXIV
20 -> XX
Now, write the number 51 in the Wonderland numeral system.",LI,numeral_system,official_train,official_train,"The examples are Roman numerals (I=1, V=5, X=10, L=50, C=100, D=500, M=1000), with subtractive pairs like IV=4 and IX=9. Convert 51 greedily: 50->L, 1->I, concatenating to LI.",true
01248b76,"In Alice's Wonderland, a secret bit manipulation rule transforms 8-bit binary numbers. The transformation involves operations like bit shifts, rotations, XOR, AND, OR, NOT, and possibly majority or choice functions.

Here are some examples of input -> output:
01101100 -> 00011000
01010011 -> 10010110
00000000 -> 00000000
11011010 -> 00010101
00011010 -> 10010100
00000001 -> 00010010
11110110 -> 10001101
01100110 -> 10101100

Now, determine the output for: 11110010",11000101,bit_manipulation,official_train,official_train,"",false
012cab1f,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
`(]&: = %@#:
&{>`% = {{
(""'%: = {@{
:%>&: = :""
`('""@ = %@{
Now, determine the result for: {`'(&",|@{,equation_symbol_transformation,official_train,official_train,"",false
012fb81b,"In Alice's Wonderland, a secret bit manipulation rule transforms 8-bit binary numbers. The transformation involves operations like bit shifts, rotations, XOR, AND, OR, NOT, and possibly majority or choice functions.

Here are some examples of input -> output:
10000100 -> 00000000
01101111 -> 10100011
01001111 -> 10100010
00010010 -> 00000000
10010100 -> 00000000
00101000 -> 00000000
01011001 -> 00100000
00010100 -> 00000000
00111000 -> 00000000
01110000 -> 00000000

Now, determine the output for: 10101101",10000100,bit_manipulation,official_train,official_train,"",false
0133bcec,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
%|*""| = %|""|
\(*[^ = \([^
(%+[@ = (%[@
|[*([ = |[([
[^-[( = -^
Now, determine the result for: \(*[#",\([#,equation_symbol_transformation,official_train,official_train,"",false
0140788e,"In Alice's Wonderland, a secret unit conversion is applied to measurements. For example:
40.61 m becomes 73.32
34.78 m becomes 62.79
12.78 m becomes 23.07
31.68 m becomes 57.19
Now, convert the following measurement: 21.46 m",38.74,unit_conversion,official_train,official_train,Each measurement is multiplied by a fixed factor. From '40.61 m becomes 73.32': factor = 73.32/40.61 = 1.805. Apply to 21.46 m: 21.46*1.805 = 38.74.,true
01466f0b,"In Alice's Wonderland, a secret unit conversion is applied to measurements. For example:
15.99 m becomes 28.03
10.68 m becomes 18.72
34.08 m becomes 59.75
8.82 m becomes 15.46
34.33 m becomes 60.19
Now, convert the following measurement: 26.76 m",46.91,unit_conversion,official_train,official_train,Each measurement is multiplied by a fixed factor. From '15.99 m becomes 28.03': factor = 28.03/15.99 = 1.753. Apply to 26.76 m: 26.76*1.753 = 46.91.,true
014c4f83,"In Alice's Wonderland, a secret unit conversion is applied to measurements. For example:
21.42 m becomes 31.77
16.9 m becomes 25.07
49.17 m becomes 72.93
Now, convert the following measurement: 36.6 m",54.28,unit_conversion,official_train,official_train,Each measurement is multiplied by a fixed factor. From '21.42 m becomes 31.77': factor = 31.77/21.42 = 1.483. Apply to 36.6 m: 36.6*1.483 = 54.28.,true
014c7478,"In Alice's Wonderland, a secret unit conversion is applied to measurements. For example:
37.09 m becomes 65.36
42.77 m becomes 75.36
6.69 m becomes 11.79
Now, convert the following measurement: 37.79 m",66.59,unit_conversion,official_train,official_train,Each measurement is multiplied by a fixed factor. From '37.09 m becomes 65.36': factor = 65.36/37.09 = 1.762. Apply to 37.79 m: 37.79*1.762 = 66.59.,true
015430cf,"In Alice's Wonderland, numbers are secretly converted into a different numeral system. Some examples are given below:
76 -> LXXVI
50 -> L
31 -> XXXI
74 -> LXXIV
Now, write the number 77 in the Wonderland numeral system.",LXXVII,numeral_system,official_train,official_train,"The examples are Roman numerals (I=1, V=5, X=10, L=50, C=100, D=500, M=1000), with subtractive pairs like IV=4 and IX=9. Convert 77 greedily: 50->L, 10->X, 10->X, 5->V, 1->I, 1->I, concatenating to LXXVII.",true
0162e157,"In Alice's Wonderland, numbers are secretly converted into a different numeral system. Some examples are given below:
23 -> XXIII
14 -> XIV
32 -> XXXII
64 -> LXIV
54 -> LIV
Now, write the number 52 in the Wonderland numeral system.",LII,numeral_system,official_train,official_train,"The examples are Roman numerals (I=1, V=5, X=10, L=50, C=100, D=500, M=1000), with subtractive pairs like IV=4 and IX=9. Convert 52 greedily: 50->L, 1->I, 1->I, concatenating to LII.",true
016482c8,"In Alice's Wonderland, a secret unit conversion is applied to measurements. For example:
48.1 m becomes 62.12
25.84 m becomes 33.37
24.4 m becomes 31.51
9.65 m becomes 12.46
Now, convert the following measurement: 48.26 m",62.33,unit_conversion,official_train,official_train,Each measurement is multiplied by a fixed factor. From '48.1 m becomes 62.12': factor = 62.12/48.1 = 1.291. Apply to 48.26 m: 48.26*1.291 = 62.30.,true
016c474c,"In Alice's Wonderland, a secret bit manipulation rule transforms 8-bit binary numbers. The transformation involves operations like bit shifts, rotations, XOR, AND, OR, NOT, and possibly majority or choice functions.

Here are some examples of input -> output:
11000011 -> 00001010
01100100 -> 10010011
01110000 -> 11000011
00001010 -> 00101000
01010100 -> 01010010
01111101 -> 11110111
10110111 -> 11011001
11001100 -> 00110110
10110100 -> 11010101
10000111 -> 00011000

Now, determine the output for: 00000001",00000100,bit_manipulation,official_train,official_train,"",false
01714be2,"In Alice's Wonderland, the gravitational constant has been secretly changed. Here are some example observations:
For t = 1.32s, distance = 9.87 m
For t = 1.07s, distance = 6.48 m
For t = 1.48s, distance = 12.4 m
Now, determine the falling distance for t = 4.98s given d = 0.5*g*t^2.",140.44,gravity_formula,official_train,official_train,"The rule is d = 0.5*g*t^2 with a hidden g. From the example t=1.32s, d=9.87 m: g = 2*9.87/1.32^2 = 11.32. Apply to t=4.98s: d = 0.5*11.32*4.98^2 = 140.37.",true
017a161b,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:
tfsu lsjimjx xjlsjm -> bird creates secret
sittfm pnvvngx mqj ihlfjhm unns -> rabbit follows the ancient door
zndxj jabvnsjx wisujh -> mouse explores garden
Now, decrypt the following text: sittfm lsjimjx fh nljih",rabbit creates in ocean,text_decryption,official_train,official_train,This is a letter-substitution cipher. Recover each ciphertext letter from the examples: 's' decrypts to 'r' (seen in 'tfsu lsjimjx xjlsjm' -> 'bird creates secret'). 'i' decrypts to 'a' (seen in 'tfsu lsjimjx xjlsjm' -> 'bird creates secret'). 't' decrypts to 'b' (seen in 'tfsu lsjimjx xjlsjm' -> 'bird creates secret'). 'f' decrypts to 'i' (seen in 'tfsu lsjimjx xjlsjm' -> 'bird creates secret'). 'm' decrypts to 't' (seen in 'tfsu lsjimjx xjlsjm' -> 'bird creates secret'). 'l' decrypts to 'c' (seen in 'tfsu lsjimjx xjlsjm' -> 'bird creates secret'). 'j' decrypts to 'e' (seen in 'tfsu lsjimjx xjlsjm' -> 'bird creates secret'). 'x' decrypts to 's' (seen in 'tfsu lsjimjx xjlsjm' -> 'bird creates secret'). 'h' decrypts to 'n' (seen in 'sittfm pnvvngx mqj ihlfjhm unns' -> 'rabbit follows the ancient door'). 'n' decrypts to 'o' (seen in 'sittfm pnvvngx mqj ihlfjhm unns' -> 'rabbit follows the ancient door'). Decrypting 'sittfm lsjimjx fh nljih' letter by letter gives 'rabbit creates in ocean'.,true
017a871e,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
#]+\# = ""!
#^-{] = ]#
\{*\! = #\^:
Now, determine the result for: #!-""^",\:,equation_symbol_transformation,official_train,official_train,"",false
0184a864,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:
mof mzodvd dfrqy -> cat chases story
lrsdv dfsaevd fzv iedv mqydfoc -> mouse studies the wise crystal
fzv aoqx aqourn aqoid -> the dark dragon draws
Now, decrypt the following text: iehoqa qvoad en beccouv",wizard reads in village,text_decryption,official_train,official_train,"",false
0186fc54,"In Alice's Wonderland, numbers are secretly converted into a different numeral system. Some examples are given below:
62 -> LXII
15 -> XV
47 -> XLVII
Now, write the number 64 in the Wonderland numeral system.",LXIV,numeral_system,official_train,official_train,"The examples are Roman numerals (I=1, V=5, X=10, L=50, C=100, D=500, M=1000), with subtractive pairs like IV=4 and IX=9. Convert 64 greedily: 50->L, 10->X, 4->IV, concatenating to LXIV.",true
018871ed,"In Alice's Wonderland, numbers are secretly converted into a different numeral system. Some examples are given below:
85 -> LXXXV
86 -> LXXXVI
89 -> LXXXIX
48 -> XLVIII
Now, write the number 39 in the Wonderland numeral system.",XXXIX,numeral_system,official_train,official_train,"The examples are Roman numerals (I=1, V=5, X=10, L=50, C=100, D=500, M=1000), with subtractive pairs like IV=4 and IX=9. Convert 39 greedily: 10->X, 10->X, 10->X, 9->IX, concatenating to XXXIX.",true
018c6f61,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:
lzddf adda edm -> queen sees key
uqd iztshza udwiqdt sgwvsfda -> the curious teacher imagines
pstc dokbhtda xhtdau -> bird explores forest
udwiqdt dokbhtda fdwt nwbbdm -> teacher explores near valley
Now, decrypt the following text: uqd rsad ctwvhf rwuiqda",the wise dragon watches,text_decryption,official_train,official_train,"",false
